ph_psgc,disasters,affected_families,affected_persons,dead,injured,missing,damaged_houses_full,damaged_houses_partial,damaged_properties_agri,damaged_properties_infra,damaged_properties_private,damage_total
PH133900000,20,21268,100356,95,37,8,47,15,300.00,4911.45,56.00,13.45
PH137401000,1,275,1647,0,0,0,0,0,0.00,0.00,0.00,0.00
PH137402000,14,21416,92507,2,3,0,0,0,0.00,0.00,0.00,0.00
PH137403000,7,4640,21711,1,3,0,6,0,0.00,0.00,0.00,0.00
PH137404000,22,13317,63148,22,9,0,45,0,0.00,41.18,0.00,35.18
PH137405000,7,2779,11750,0,0,0,0,0,0.00,0.00,0.00,0.00
PH137500000,1,1048,5258,0,0,0,0,0,0.00,0.00,0.00,0.00
PH137501000,10,21597,107711,6,2,0,1,0,0.00,31.96,0.00,0.16
PH137502000,10,12988,61161,2,0,0,0,0,18.45,0.00,0.00,18.45
PH137503000,10,2283,11483,1,2,0,0,0,0.00,0.00,0.00,0.00
PH137504000,13,9089,36325,4,15,0,0,0,0.00,0.10,0.00,0.10
PH137601000,6,4103,21521,1,0,0,0,0,3.00,0.18,0.00,3.18
PH137602000,7,1490,7422,3,0,0,0,0,2.59,0.00,0.00,2.59
PH137603000,9,5314,26357,0,0,0,0,0,20.88,0.10,0.00,20.98
PH137604000,7,10429,51244,18,0,1,0,0,0.00,0.00,0.00,0.00
PH137605000,7,8348,40799,3,0,2,0,0,4.73,1.89,0.00,6.62
PH137605095,1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
PH137606000,5,843,3693,0,3,0,0,80,0.00,0.00,0.00,0.00
PH137607000,9,4317,20361,5,4,0,0,0,50.95,0.00,0.00,50.95
